cd	grp_cd	dscr
1.00	4026	SETTLERS VILLAGE 1,1R/P  & 2
1.01	4025	SETTLERS VLG SEC 3,3R/P,5 ,5 R/P & OTHERS
1.05	4025	LAKEVILLE SEC 1,2,4,5,6,7
1.07	4160	GRANT MEADOWS 1-5, TELGE RANCH 1-5 & OTHERS
10.00	0	ROLLING CREEK Commercial (DO NOT REMOVE)
10.01	4139	ROLLING CREEK 1 & GRAND OAKS SEC 2-16
10.03	4028	BERKSHIRE SEC 1,2,5,6,8,9
10.05	4013	WHEATSTONE VILLAGE CLOVERFIELD
10.08	4028	BERKSHIRE PL SEC 1-5 & BERKSHIRE SEC 7,10
10.10	4139	GRAND OAKS THE PRESERVE
100.00	4056	WESTWAY SEC 1
100.01	4042	WESTBRANCH ESTATES
1000.00	9001	ALDINE ESTATES/OTHERS M/R
10001.00	0	Mineral Reserve
10002.00	0	Mineral Other Real Property Reserves
1001.00	9001	ALASTA GLEN MOBILES/OTHERS M/R
1002.00	9001	M/R
1003.00	9001	MR/PT ALDINE/MAGNOLIA GDNS
1004.00	9001	MR/MCCRACKEN UR,PT MAGNOLIA GD
1005.00	9001	MR/WL HILL S/D HAHL SITES
1006.00	9001	MR/HILLSIDE GDNS/PARKLAND ESTS
1006.01	9043	PINE TRACE SEC 4,5,6
1007.00	9001	MR/N OF FM 1960
101.00	4047	WESTWAY COURTYARD
1010.00	9012	LINCOLN GRN PL 1(02)2(03 SUB)
1011.00	9012	WESTPOINT ESTATES #1
1012.00	9001	PINE VALLEY MEADOWS SEC 1
1013.00	9037	VILLA NORTH
1014.00	9023	GREEN OAK PARK SEC 1,2, 3, 4
1016.01	9023	GREENBRIAR NORTH SEC 13-19
1017.00	9023	FLAGSTONE SEC 1, 2
1018.00	9012	PARKLAND PLACE SEC 1,2,3
1019.00	9023	CYPRESSWOOD POINT SOUTH
102.00	4024	WESTBANK 1 R/P, 2,3,5
1020.00	9023	CYPRESSWOOD POINT SEC. 1-3,6,7
1020.01	9023	CYPRESSWOOD POINT 4,5,9,12
1020.02	9023	CYPRESSWOOD POINT SEC 8,10,11
1021.00	9012	CYPRESS TERRACE SEC 1,3
1022.00	9012	SYCAMORE BEND SEC 1,2
1023.00	9012	MEADOWVIEW FARMS
1024.00	9012	MAPLE RIDGE PLACE SEC 1,2,3,4
1025.00	9012	REMINGTON CREEK RANCH SEC 1-6
1026.00	9012	SADDLE RIDGE 1-6
1028.00	9023	DEERBROOK ESTATES PT SEC 1,3
1028.01	9023	DEERBROOK ESTATES PT SEC 1 DPLX
1028.02	9023	DEERBROOK ESTATES SEC 2,4,7,10-12
